--- Log started at 2025-06-06 17:52:13 ---
Cam 1 Focal Length: 111.11 pixels
Cam 2 Focal Length: 111.11 pixels
Cam 3 Focal Length: 111.11 pixels
Cam 4 Focal Length: 111.11 pixels
2025-06-06 17:52:14 | No objects detected
2025-06-06 17:52:15 | No objects detected
2025-06-06 17:52:16 | No objects detected
2025-06-06 17:52:17 | No objects detected
2025-06-06 17:52:18 | No objects detected
2025-06-06 17:52:19 | No objects detected
2025-06-06 17:52:25 | Cam 3 | Person 6, Distance: 30.01 cm
2025-06-06 17:52:25 | Cam 3 | Person 7, Distance: 30.01 cm
2025-06-06 17:52:25 | Cam 3 | Person 8, Distance: 30.01 cm
2025-06-06 17:52:25 | Cam 3 | Person 9, Distance: 30.01 cm
2025-06-06 17:52:25 | Cam 3 | Person 10, Distance: 30.01 cm
2025-06-06 17:52:25 | Cam 3 | Person 11, Distance: 30.01 cm
2025-06-06 17:52:25 | Cam 3 | Person 12, Distance: 30.01 cm
2025-06-06 17:52:25 | Cam 4 | Person 1, Distance: 30.27 cm
2025-06-06 17:52:25 | Cam 4 | Person 2, Distance: 30.27 cm
2025-06-06 17:52:25 | Cam 4 | Person 3, Distance: 30.27 cm
2025-06-06 17:52:25 | Cam 4 | Person 4, Distance: 30.27 cm
2025-06-06 17:52:25 | Cam 4 | Person 5, Distance: 30.27 cm
2025-06-06 17:52:25 | Cam 4 | Person 6, Distance: 30.27 cm
2025-06-06 17:52:25 | Cam 4 | Person 7, Distance: 30.27 cm
2025-06-06 17:52:25 | Cam 4 | Person 8, Distance: 30.27 cm
2025-06-06 17:52:25 | Cam 4 | Person 9, Distance: 30.27 cm
2025-06-06 17:52:25 | Cam 4 | Person 10, Distance: 30.27 cm
2025-06-06 17:52:25 | Cam 4 | Person 11, Distance: 30.27 cm
2025-06-06 17:52:25 | Cam 4 | Person 12, Distance: 30.27 cm
2025-06-06 17:52:26 | Cam 1 | Person 1, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 2, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 3, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 4, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 5, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 6, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 7, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 8, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 9, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 10, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 11, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 12, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 13, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 1 | Person 14, Distance: 18.44 cm
2025-06-06 17:52:26 | Cam 2 | Person 1, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 2, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 3, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 4, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 5, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 6, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 7, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 8, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 9, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 10, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 11, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 12, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 13, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 2 | Person 14, Distance: 18.38 cm
2025-06-06 17:52:26 | Cam 3 | Person 1, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 2, Distance: 29.06 cm
2025-06-06 17:52:26 | Cam 3 | Person 3, Distance: 29.06 cm
