--- Log started at 2025-06-06 10:16:15 ---
Error: Camera Cam 1 unavailable for reference capture. Using default focal length 600.0.
Error: Camera Cam 2 unavailable for reference capture. Using default focal length 600.0.
2025-06-06 10:16:16 | No objects detected
2025-06-06 10:16:17 | No objects detected
2025-06-06 10:16:18 | No objects detected
2025-06-06 10:16:19 | No objects detected
2025-06-06 10:16:35 | Cam 1 | Person 8, Distance: 151.32 cm
2025-06-06 10:16:35 | Cam 1 | Person 9, Distance: 151.32 cm
2025-06-06 10:16:35 | Cam 1 | Person 10, Distance: 151.32 cm
2025-06-06 10:16:35 | Cam 1 | Person 11, Distance: 151.32 cm
2025-06-06 10:16:35 | Cam 2 | Person 1, Distance: 191.74 cm
2025-06-06 10:16:35 | Cam 2 | Person 2, Distance: 191.74 cm
2025-06-06 10:16:35 | Cam 2 | Person 3, Distance: 191.74 cm
2025-06-06 10:16:35 | Cam 2 | Person 4, Distance: 191.74 cm
2025-06-06 10:16:35 | Cam 2 | Person 5, Distance: 191.74 cm
2025-06-06 10:16:35 | Cam 2 | Person 6, Distance: 191.74 cm
2025-06-06 10:16:35 | Cam 2 | Person 7, Distance: 191.74 cm
2025-06-06 10:16:35 | Cam 2 | Person 8, Distance: 191.74 cm
2025-06-06 10:16:36 | Cam 1 | Person 1, Distance: 149.33 cm
2025-06-06 10:16:36 | Cam 1 | Person 2, Distance: 149.33 cm
2025-06-06 10:16:36 | Cam 1 | Person 3, Distance: 149.33 cm
2025-06-06 10:16:36 | Cam 1 | Person 4, Distance: 149.33 cm
2025-06-06 10:16:36 | Cam 1 | Person 5, Distance: 149.33 cm
2025-06-06 10:16:36 | Cam 1 | Person 6, Distance: 149.33 cm
2025-06-06 10:16:36 | Cam 1 | Person 7, Distance: 149.33 cm
2025-06-06 10:16:36 | Cam 1 | Person 8, Distance: 149.33 cm
2025-06-06 10:16:36 | Cam 1 | Person 9, Distance: 149.33 cm
2025-06-06 10:16:36 | Cam 1 | Person 10, Distance: 149.33 cm
2025-06-06 10:16:36 | Cam 2 | Person 1, Distance: 197.92 cm
2025-06-06 10:16:36 | Cam 2 | Person 2, Distance: 197.92 cm
2025-06-06 10:16:36 | Cam 2 | Person 3, Distance: 197.92 cm
2025-06-06 10:16:36 | Cam 2 | Person 4, Distance: 197.92 cm
2025-06-06 10:16:36 | Cam 2 | Person 5, Distance: 197.92 cm
