--- Log started at 2025-06-06 10:11:12 ---
Error: Camera Cam 1 unavailable for reference capture. Using default focal length.
Error: Camera Cam 2 unavailable for reference capture. Using default focal length.
2025-06-06 10:11:13 | No objects detected
2025-06-06 10:11:14 | No objects detected
2025-06-06 10:11:15 | No objects detected
2025-06-06 10:11:16 | No objects detected
2025-06-06 10:11:30 | Cam 2 | Person 2, Distance: 268.82 cm
2025-06-06 10:11:30 | Cam 2 | Person 3, Distance: 268.82 cm
2025-06-06 10:11:30 | Cam 2 | Person 4, Distance: 268.82 cm
2025-06-06 10:11:30 | Cam 2 | Person 5, Distance: 268.82 cm
2025-06-06 10:11:30 | Cam 2 | Person 6, Distance: 268.82 cm
2025-06-06 10:11:30 | Cam 2 | Person 7, Distance: 268.82 cm
2025-06-06 10:11:30 | Cam 2 | Person 8, Distance: 268.82 cm
2025-06-06 10:11:30 | Cam 2 | Person 9, Distance: 268.82 cm
2025-06-06 10:11:30 | Cam 2 | Person 10, Distance: 268.82 cm
2025-06-06 10:11:30 | Cam 2 | Person 11, Distance: 268.82 cm
2025-06-06 10:11:30 | Cam 2 | Person 12, Distance: 268.82 cm
2025-06-06 10:11:31 | Cam 1 | Person 1, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 1 | Person 2, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 1 | Person 3, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 1 | Person 4, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 1 | Person 5, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 1 | Person 6, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 1 | Person 7, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 1 | Person 8, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 1 | Person 9, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 1 | Person 10, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 1 | Person 11, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 1 | Person 12, Distance: 221.89 cm
2025-06-06 10:11:31 | Cam 2 | Person 1, Distance: 267.77 cm
2025-06-06 10:11:31 | Cam 2 | Person 2, Distance: 267.77 cm
2025-06-06 10:11:31 | Cam 2 | Person 3, Distance: 267.77 cm
2025-06-06 10:11:31 | Cam 2 | Person 4, Distance: 267.77 cm
2025-06-06 10:11:31 | Cam 2 | Person 5, Distance: 267.77 cm
2025-06-06 10:11:31 | Cam 2 | Person 6, Distance: 267.77 cm
2025-06-06 10:11:31 | Cam 2 | Person 7, Distance: 267.77 cm
2025-06-06 10:11:31 | Cam 2 | Person 8, Distance: 267.77 cm
2025-06-06 10:11:31 | Cam 2 | Person 9, Distance: 267.77 cm
2025-06-06 10:11:31 | Cam 2 | Person 10, Distance: 267.77 cm
2025-06-06 10:11:31 | Cam 2 | Person 11, Distance: 267.77 cm
